tag,actual_dist
SITA,9
accessDoorOrPanel,7
accessFrom,8
accessPoint,7
accessPointAlts,6
accessPointIdent,6
accessPointRef,9
accessPointRefGroup,8
accessPointRepository,3
accessPointSpec,5
accessPointType,8
accessTo,8
accessory,5
accessoryGroup,4
acronym,4
acronymDefinition,5
acronymTerm,5
action,9
actionAlts,8
actionGroup,1
additionalModification,6
address,6
altIdent,7
altIdentGroup,6
alteredFromPart,7
alteredFromPartDescr,8
amperage,6
answer,3
applic,3
applicCrossRefTable,2
applicCrossRefTableCatalog,3
applicCrossRefTableRef,3
applicIdent,5
applicRef,3
applicRefIdent,5
applicRepository,3
applicSpec,5
applicSpecIdent,6
applicabilitySegment,5
assertion,7
assign,4
assocWarningMalfunction,7
assocWarningMalfunctionAlts,6
associate,5
assy,7
assyInstruction,6
attachStoreShipPart,6
attachmentRef,2
attenuation,8
authorityExceptions,4
authorityInfo,5
authorityInfoAndTp,4
authorityNotes,4
authorization,3
authorizationStatus,9
barCode,4
barCodeCode,5
barCodeSymbol,5
basicCorrelatedFaults,5
behavior,2
bindById,1
bindByName,1
bitMessage,7
bitMessageAlts,6
blockGroupingValue,11
booleanValue,0
boundary,9
boundaryFrom,8
boundaryTo,8
brAction,2
brAudit,1
brCategory,3
brCategoryDescription,4
brCategoryGroup,2
brCurrentStatus,2
brDecision,1
brDecisionExplanation,2
brDecisionPending,2
brDecisionPointContent,1
brDecisionPointExplanation,2
brDecisionPointRef,3
brDecisionPointText,2
brDecisionPointValue,3
brDecisionPointValueGroup,2
brDecisionRef,4
brDecisionText,2
brDecisionValue,3
brDecisionValueGroup,2
brDoc,2
brLevelledPara,4
brPara,0
brRelatedTo,1
brRequiredDate,3
brStatusDate,3
brex,2
brexDmRef,3
building,9
businessUnit,6
businessUnitAddress,7
businessUnitName,7
buyerFurnishedEquipFlag,7
calibrationMarker,7
caption,0
captionLine,1
catalogSeqNumber,3
catalogSeqNumberRef,8
categoryOneContainerLocation,5
caution,4
cautionIdent,6
cautionRef,3
cautionRepository,3
cautionSpec,5
changeAuthority,9
changeAuthorityData,8
changeAuthorityDataGroup,7
checkList,2
checkListInfo,3
checkListInterval,5
checkListIntervals,4
checkListItem,5
checkListItems,4
checkListPara,7
checkListProcedure,6
checkListStep,8
choice,10
circuitBreaker,7
circuitBreakerAlts,6
circuitBreakerClass,8
circuitBreakerDescr,8
circuitBreakerDescrGroup,6
circuitBreakerDescrSubGroup,7
circuitBreakerIdent,6
circuitBreakerLocation,9
circuitBreakerRef,9
circuitBreakerRefGroup,8
circuitBreakerRepository,3
circuitBreakerSpec,5
circuitIdent,7
city,9
classificationAction,5
classificationActionGroup,4
clippingPoint,8
closeRqmts,3
coaxialCableFlag,7
comment,0
commentAddress,2
commentAddressItems,3
commentCode,4
commentContent,1
commentIdent,3
commentOriginator,4
commentPriority,3
commentRef,3
commentRefIdent,4
commentRefs,3
commentResponse,3
commentStatus,2
commentTitle,4
commonInfo,5
commonRepository,2
complianceCategory,6
componentAssy,6
componentAssyGroup,5
cond,4
condCrossRefTable,2
condCrossRefTableRef,3
condDescr,6
condIncorporation,4
condList,3
condRef,6
condRefGroup,5
condType,4
condTypeList,3
condition,1
conduit,5
conduitGroup,4
configAttributes,2
connectionListClass,6
connector,5
connectorAccessories,6
connectorGroup,4
contact,9
contactCount,6
contactDescr,7
contactDescrGroup,6
contactDiameter,6
contactIdentification,7
contactInfo,8
contactOrderValue,11
contactPerson,7
contactPersonAddress,8
contactSize,6
container,2
content,1
contentDescription,4
contextAndIsolationInfo,5
contextRules,3
controlAuthority,4
controlAuthorityGroup,3
controlAuthorityText,5
controlIndicatorDescr,6
controlIndicatorFunction,7
controlIndicatorGroup,4
